Unit Serial No : SM245-KSP200281-EU
Integration Time : 100 ms
Time Average: 10
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : 0068
Measurement No : 1
Measurement Time : 12/09/2022   15:34:46

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
285.0000      	35087.7193    	2580.50000    
286.0000      	34965.0350    	2588.00000    
287.0000      	34843.2056    	2597.69995    
288.0000      	34722.2222    	2601.69995    
289.0000      	34602.0761    	2589.19995    
290.0000      	34482.7586    	2614.60010    
291.0000      	34364.2612    	2593.50000    
292.0000      	34246.5753    	2604.69995    
293.0000      	34129.6928    	2607.30005    
294.0000      	34013.6054    	2622.30005    
295.0000      	33898.3051    	2602.80005    
296.0000      	33783.7838    	2616.19995    
297.0000      	33670.0337    	2653.89990    
298.0000      	33557.0470    	2586.80005    
299.0000      	33444.8161    	2601.50000    
300.0000      	33333.3333    	2631.19995    
301.0000      	33222.5914    	2608.10010    
302.0000      	33112.5828    	2616.00000    
303.0000      	33003.3003    	2599.89990    
304.0000      	32894.7368    	2602.19995    
305.0000      	32786.8852    	2602.69995    
306.0000      	32679.7386    	2604.39990    
307.0000      	32573.2899    	2613.69995    
308.0000      	32467.5325    	2585.00000    
309.0000      	32362.4595    	2648.69995    
310.0000      	32258.0645    	2613.10010    
311.0000      	32154.3408    	2612.39990    
312.0000      	32051.2821    	2597.89990    
313.0000      	31948.8818    	2616.39990    
314.0000      	31847.1338    	2602.39990    
315.0000      	31746.0317    	2627.89990    
316.0000      	31645.5696    	2605.30005    
317.0000      	31545.7413    	2593.89990    
318.0000      	31446.5409    	2603.69995    
319.0000      	31347.9624    	2615.10010    
320.0000      	31250.0000    	2628.50000    
321.0000      	31152.6480    	2608.69995    
322.0000      	31055.9006    	2594.69995    
323.0000      	30959.7523    	2600.30005    
324.0000      	30864.1975    	2646.00000    
325.0000      	30769.2308    	2605.19995    
326.0000      	30674.8466    	2589.10010    
327.0000      	30581.0398    	2607.00000    
328.0000      	30487.8049    	2598.80005    
329.0000      	30395.1368    	2607.39990    
330.0000      	30303.0303    	2616.69995    
331.0000      	30211.4804    	2615.10010    
332.0000      	30120.4819    	2625.00000    
333.0000      	30030.0300    	2639.60010    
334.0000      	29940.1198    	2605.80005    
335.0000      	29850.7463    	2618.10010    
336.0000      	29761.9048    	2609.19995    
337.0000      	29673.5905    	2620.39990    
338.0000      	29585.7988    	2618.10010    
339.0000      	29498.5251    	2604.50000    
340.0000      	29411.7647    	2605.69995    
341.0000      	29325.5132    	2615.39990    
342.0000      	29239.7661    	2601.50000    
343.0000      	29154.5190    	2611.80005    
344.0000      	29069.7674    	2632.89990    
345.0000      	28985.5072    	2666.00000    
346.0000      	28901.7341    	2628.89990    
347.0000      	28818.4438    	2608.19995    
348.0000      	28735.6322    	2632.89990    
349.0000      	28653.2951    	2692.89990    
350.0000      	28571.4286    	2740.30005    
351.0000      	28490.0285    	2653.39990    
352.0000      	28409.0909    	2654.00000    
353.0000      	28328.6119    	2614.80005    
354.0000      	28248.5876    	2632.30005    
355.0000      	28169.0141    	2644.89990    
356.0000      	28089.8876    	2615.80005    
357.0000      	28011.2045    	2765.00000    
358.0000      	27932.9609    	2796.89990    
359.0000      	27855.1532    	2679.30005    
360.0000      	27777.7778    	2665.39990    
361.0000      	27700.8310    	2646.39990    
362.0000      	27624.3094    	2694.60010    
363.0000      	27548.2094    	2615.10010    
364.0000      	27472.5275    	2617.80005    
365.0000      	27397.2603    	2615.00000    
366.0000      	27322.4044    	2616.80005    
367.0000      	27247.9564    	2653.69995    
368.0000      	27173.9130    	2648.50000    
369.0000      	27100.2710    	2684.69995    
370.0000      	27027.0270    	2625.39990    
