Unit Serial No : SM245-KSP200281-EU
Integration Time : 100 ms
Time Average: 10
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : 0068
Measurement No : 1
Measurement Time : 12/09/2022   15:26:09

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
285.0000      	35087.7193    	2670.69995    
286.0000      	34965.0350    	2674.89990    
287.0000      	34843.2056    	2681.50000    
288.0000      	34722.2222    	2694.89990    
289.0000      	34602.0761    	2686.80005    
290.0000      	34482.7586    	2717.50000    
291.0000      	34364.2612    	2695.89990    
292.0000      	34246.5753    	2710.39990    
293.0000      	34129.6928    	2692.19995    
294.0000      	34013.6054    	2695.89990    
295.0000      	33898.3051    	2684.89990    
296.0000      	33783.7838    	2688.00000    
297.0000      	33670.0337    	2736.50000    
298.0000      	33557.0470    	2696.69995    
299.0000      	33444.8161    	2674.00000    
300.0000      	33333.3333    	2683.00000    
301.0000      	33222.5914    	2725.89990    
302.0000      	33112.5828    	2702.50000    
303.0000      	33003.3003    	2689.89990    
304.0000      	32894.7368    	2689.39990    
305.0000      	32786.8852    	2676.80005    
306.0000      	32679.7386    	2688.39990    
307.0000      	32573.2899    	2696.10010    
308.0000      	32467.5325    	2705.80005    
309.0000      	32362.4595    	2696.10010    
310.0000      	32258.0645    	2688.50000    
311.0000      	32154.3408    	2712.10010    
312.0000      	32051.2821    	2669.69995    
313.0000      	31948.8818    	2699.00000    
314.0000      	31847.1338    	2709.19995    
315.0000      	31746.0317    	2674.60010    
316.0000      	31645.5696    	2669.50000    
317.0000      	31545.7413    	2680.39990    
318.0000      	31446.5409    	2710.89990    
319.0000      	31347.9624    	2674.89990    
320.0000      	31250.0000    	2725.80005    
321.0000      	31152.6480    	2695.39990    
322.0000      	31055.9006    	2699.30005    
323.0000      	30959.7523    	2682.69995    
324.0000      	30864.1975    	2739.69995    
325.0000      	30769.2308    	2682.10010    
326.0000      	30674.8466    	2694.10010    
327.0000      	30581.0398    	2683.69995    
328.0000      	30487.8049    	2701.80005    
329.0000      	30395.1368    	2690.50000    
330.0000      	30303.0303    	2705.80005    
331.0000      	30211.4804    	2673.50000    
