theta,I
2,42.5
2.1,51.4
2.2,64.7
2.3,72
2.4,90.4
2.5,101.2
2.6,121.7
2.7,125.7
2.8,131.3
2.9,145
3,147.9
3.1,151.2
3.2,149.7
3.3,161.6
3.4,162.1
3.5,162.8
3.6,174.8
3.7,168
3.8,162.4
3.9,174.1
4,167.9
4.1,177.5
4.2,184.9
4.3,186.5
4.4,189.7
4.5,190.9
4.6,194.9
4.7,217.1
4.8,232.7
4.9,247.7
5,266.3
5.1,273
5.2,271.7
5.3,275.6
5.4,279.1
5.5,282.1
5.6,260.7
5.7,254.6
5.8,238.2
5.9,227.3
6,206.3
6.1,195.1
6.2,172.4
6.3,150.9
6.4,120.4
6.5,110.4
6.6,103.4
6.7,104.9
6.8,103.9
6.9,100.9
7,95.1
7.1,92.3
7.2,90
7.3,81.3
7.4,82
7.5,76.7
7.6,85.1
7.7,74.4
7.8,79.2
7.9,76.5
8,72.6
8.1,73.3
8.2,64.5
8.3,67.8
8.4,66.2
8.5,66.1
8.6,65.4
8.7,64.4
8.8,60
8.9,63.1
9,61.5
9.1,57
9.2,57.9
9.3,61.4
9.4,59.7
9.5,56.6
9.6,59.8
9.7,57.6
9.8,54.1
9.9,58.4
10,54.3
10.1,56.2
10.2,55.4
10.3,55.4
10.4,60.1
10.5,51.6
10.6,56.2
10.7,54.5
10.8,55.1
10.9,53.3
11,56.5
11.1,54.5
11.2,54.5
11.3,54.3
11.4,55.2
11.5,60.5
11.6,58.8
11.7,61.2
11.8,59.7
11.9,52.7
12,54.4
12.1,55.3
12.2,53.1
12.3,49
12.4,50.6
12.5,49.7
12.6,51.9
12.7,57.5
12.8,58.2
12.9,61.1
13,57.1
13.1,70.6
13.2,66.6
13.3,63.2
13.4,61.7
13.5,60.1
13.6,55.5
13.7,53.2
13.8,51.6
13.9,47.1
14,46.1
14.1,47.5
14.2,46.3
14.3,45.7
14.4,43.4
14.5,46.7
14.6,41.9
14.7,37.7
14.8,40.2
14.9,44.6
15,41.4
15.1,41.4
15.2,39.5
15.3,42.9
15.4,34.7
15.5,35.6
15.6,36.2
15.7,37.2
15.8,35.2
15.9,39.2
16,34.6
16.1,35
16.2,38.3
16.3,32.9
16.4,35.1
16.5,35
16.6,31.7
16.7,32.7
16.8,33.1
16.9,35.5
17,33.7
17.1,34.3
17.2,34
17.3,33.5
17.4,37.5
17.5,33.7
17.6,34.5
17.7,36.1
17.8,31.2
17.9,34.5
18,36.9
18.1,36.2
18.2,38.5
18.3,33.2
18.4,33.5
18.5,34.9
18.6,31.3
18.7,29.5
18.8,34.2
18.9,30.1
19,33.6
19.1,30.6
19.2,31.1
19.3,32
19.4,29.3
19.5,32.3
19.6,29.5
19.7,31.9
19.8,28
19.9,29.3
20,33.9
20.1,30.1
20.2,28.8
20.3,31.5
20.4,31.6
20.5,31.6
20.6,29.2
20.7,31.9
20.8,33.5
20.9,33.5
21,34
21.1,32.5
21.2,30.8
21.3,33.3
21.4,29.5
21.5,28.7
21.6,27.3
21.7,29.3
21.8,28.8
21.9,24.6
22,26.3
22.1,29.3
22.2,24.4
22.3,24.5
22.4,25.2
22.5,23.6
22.6,26.1
22.7,24.3
22.8,25.8
22.9,28.9
23,25.7
23.1,21.2
23.2,22.5
23.3,22.8
23.4,20.4
23.5,22.8
23.6,21.4
23.7,19.9
23.8,22.4
23.9,21.5
24,21.1
24.1,21.6
24.2,20
24.3,19.6
24.4,20.3
24.5,20.6
24.6,22.6
24.7,21.5
24.8,20
24.9,21.5
25,21.2
