Pixel	Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
1    	132.6255      	75400.2706    	2710    
2    	133.0654      	75151.0337    	2796    
3    	133.5053      	74903.4048    	2660    
4    	133.9452      	74657.3770    	2686    
5    	134.3853      	74412.9263    	2741    
6    	134.8253      	74170.0377    	2723    
7    	135.2655      	73928.7044    	2720    
8    	135.7056      	73688.9034    	2733    
9    	136.1459      	73450.6202    	2704    
10   	136.5862      	73213.8484    	2715    
11   	137.0265      	72978.5658    	2710    
12   	137.4669      	72744.7582    	2643    
13   	137.9074      	72512.4119    	2613    
14   	138.3479      	72281.5212    	2634    
15   	138.7885      	72052.0724    	2692    
16   	139.2292      	71824.0364    	2653    
17   	139.6698      	71597.4157    	2734    
18   	140.1106      	71372.1896    	2672    
19   	140.5514      	71148.3528    	2669    
20   	140.9922      	70925.8850    	2706    
21   	141.4332      	70704.7735    	2670    
22   	141.8741      	70485.0060    	2636    
23   	142.3152      	70266.5779    	2671    
24   	142.7562      	70049.4769    	2708    
25   	143.1974      	69833.6762    	2703    
26   	143.6386      	69619.1788    	2780    
27   	144.0798      	69405.9656    	2645    
28   	144.5211      	69194.0325    	2703    
29   	144.9625      	68983.3607    	2671    
30   	145.4039      	68773.9389    	2651    
31   	145.8454      	68565.7562    	2680    
32   	146.2869      	68358.8086    	2673    
33   	146.7285      	68153.0782    	2689    
34   	147.1702      	67948.5612    	2674    
35   	147.6118      	67745.2400    	2725    
36   	148.0536      	67543.1041    	2671    
37   	148.4954      	67342.1501    	2648    
38   	148.9373      	67142.3608    	2686    
39   	149.3792      	66943.7261    	2653    
40   	149.8212      	66746.2361    	2700    
41   	150.2632      	66549.8875    	2685    
42   	150.7053      	66354.6707    	2642    
43   	151.1474      	66160.5623    	2727    
44   	151.5896      	65967.5664    	2651    
45   	152.0319      	65775.6734    	2751    
46   	152.4742      	65584.8607    	2667    
47   	152.9166      	65395.1323    	2735    
48   	153.3590      	65206.4791    	2685    
49   	153.8015      	65018.8788    	2697    
50   	154.2440      	64832.3358    	2732    
51   	154.6866      	64646.8409    	2706    
52   	155.1293      	64462.3727    	2668    
53   	155.5719      	64278.9417    	2677    
54   	156.0147      	64096.5203    	2688    
55   	156.4575      	63915.1127    	2600    
56   	156.9004      	63734.7043    	2740    
57   	157.3433      	63555.2868    	2764    
58   	157.7863      	63376.8582    	2727    
59   	158.2293      	63199.4043    	2658    
60   	158.6724      	63022.9231    	2666    
61   	159.1156      	62847.4008    	2671    
62   	159.5588      	62672.8294    	2752    
63   	160.0020      	62499.2073    	2711    
64   	160.4453      	62326.5207    	2709    
65   	160.8887      	62154.7623    	2704    
66   	161.3321      	61983.9303    	2687    
67   	161.7756      	61814.0115    	2729    
68   	162.2192      	61644.9985    	2716    
69   	162.6628      	61476.8900    	2701    
70   	163.1064      	61309.6729    	2671    
71   	163.5501      	61143.3459    	2699    
72   	163.9939      	60977.8905    	2671    
73   	164.4377      	60813.3169    	2657    
74   	164.8815      	60649.6011    	2708    
75   	165.3255      	60486.7478    	2696    
76   	165.7695      	60324.7444    	2755    
77   	166.2135      	60163.5900    	2719    
78   	166.6576      	60003.2723    	2703    
79   	167.1017      	59843.7849    	2734    
80   	167.5459      	59685.1267    	2745    
81   	167.9902      	59527.2860    	2742    
82   	168.4345      	59370.2618    	2698    
83   	168.8789      	59214.0424    	2670    
84   	169.3233      	59058.6216    	2665    
85   	169.7678      	58903.9935    	2687    
86   	170.2123      	58750.1571    	2630    
87   	170.6569      	58597.1064    	2637    
88   	171.1015      	58444.8251    	2682    
89   	171.5462      	58293.3176    	2697    
90   	171.9910      	58142.5781    	2677    
91   	172.4358      	57992.5957    	2648    
92   	172.8807      	57843.3647    	2649    
93   	173.3256      	57694.8793    	2671    
94   	173.7706      	57547.1392    	2642    
95   	174.2156      	57400.1337    	2654    
96   	174.6607      	57253.8624    	2657    
97   	175.1059      	57108.3147    	2644    
98   	175.5510      	56963.4903    	2673    
99   	175.9963      	56819.3739    	2743    
100  	176.4416      	56675.9752    	2639    
101  	176.8870      	56533.2740    	2700    
102  	177.3324      	56391.2750    	2692    
103  	177.7779      	56249.9683    	2625    
104  	178.2234      	56109.3537    	2683    
105  	178.6690      	55969.4211    	2721    
106  	179.1146      	55830.1705    	2671    
107  	179.5603      	55691.5874    	2740    
108  	180.0061      	55553.6812    	2729    
109  	180.4519      	55416.4329    	2674    
110  	180.8978      	55279.8471    	2695    
111  	181.3437      	55143.9189    	2735    
112  	181.7896      	55008.6345    	2712    
113  	182.2357      	54873.9985    	2701    
114  	182.6817      	54740.0063    	2719    
115  	183.1279      	54606.6486    	2730    
116  	183.5741      	54473.9210    	2695    
117  	184.0203      	54341.8235    	2702    
118  	184.4666      	54210.3472    	2685    
119  	184.9130      	54079.4877    	2706    
120  	185.3594      	53949.2451    	2685    
121  	185.8059      	53819.6107    	2734    
122  	186.2524      	53690.5846    	2767    
123  	186.6990      	53562.1581    	2734    
124  	187.1456      	53434.3272    	2712    
125  	187.5923      	53307.0919    	2665    
126  	188.0390      	53180.4439    	2681    
