Pixel	Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
888  	543.7825      	18389.7044    	3341    
889  	544.2686      	18373.2806    	3269    
890  	544.7548      	18356.8841    	3255    
891  	545.2409      	18340.5168    	3309    
892  	545.7272      	18324.1746    	3310    
893  	546.2134      	18307.8615    	3334    
894  	546.6998      	18291.5753    	3265    
895  	547.1861      	18275.3182    	3330    
896  	547.6725      	18259.0858    	3277    
897  	548.1590      	18242.8822    	3277    
898  	548.6455      	18226.7053    	3271    
899  	549.1321      	18210.5551    	3311    
900  	549.6187      	18194.4335    	3267    
901  	550.1053      	18178.3363    	3336    
902  	550.5920      	18162.2676    	3287    
903  	551.0788      	18146.2253    	3264    
904  	551.5656      	18130.2093    	3299    
905  	552.0524      	18114.2215    	3288    
906  	552.5393      	18098.2599    	3332    
907  	553.0262      	18082.3245    	3253    
908  	553.5132      	18066.4150    	3265    
909  	554.0003      	18050.5316    	3336    
910  	554.4874      	18034.6760    	3365    
911  	554.9745      	18018.8443    	3312    
912  	555.4617      	18003.0404    	3324    
913  	555.9489      	17987.2642    	3300    
914  	556.4362      	17971.5117    	3353    
915  	556.9235      	17955.7867    	3400    
916  	557.4109      	17940.0873    	3270    
917  	557.8983      	17924.4133    	3227    
918  	558.3858      	17908.7648    	3287    
919  	558.8733      	17893.1435    	3273    
920  	559.3609      	17877.5456    	3363    
921  	559.8485      	17861.9748    	3318    
922  	560.3362      	17846.4292    	3312    
923  	560.8239      	17830.9106    	3346    
924  	561.3116      	17815.4152    	3352    
925  	561.7994      	17799.9466    	3311    
926  	562.2873      	17784.5029    	3312    
927  	562.7751      	17769.0860    	3380    
928  	563.2631      	17753.6920    	3297    
929  	563.7511      	17738.3246    	3334    
930  	564.2391      	17722.9819    	3304    
931  	564.7272      	17707.6638    	3305    
932  	565.2154      	17692.3702    	3296    
933  	565.7036      	17677.1031    	3317    
934  	566.1918      	17661.8603    	3192    
935  	566.6801      	17646.6419    	3297    
936  	567.1684      	17631.4479    	3295    
937  	567.6568      	17616.2780    	3312    
938  	568.1452      	17601.1343    	3366    
939  	568.6337      	17586.0147    	3312    
940  	569.1222      	17570.9191    	3374    
941  	569.6108      	17555.8476    	3368    
942  	570.0994      	17540.8018    	3264    
943  	570.5880      	17525.7800    	3272    
944  	571.0768      	17510.7802    	3319    
945  	571.5655      	17495.8079    	3348    
946  	572.0543      	17480.8574    	3323    
947  	572.5432      	17465.9324    	3343    
948  	573.0320      	17451.0311    	3305    
949  	573.5210      	17436.1533    	3421    
950  	574.0100      	17421.2990    	3333    
951  	574.4990      	17406.4700    	3375    
952  	574.9882      	17391.6625    	3386    
953  	575.4773      	17376.8802    	3303    
954  	575.9664      	17362.1230    	3282    
955  	576.4557      	17347.3871    	3290    
956  	576.9449      	17332.6763    	3296    
957  	577.4343      	17317.9867    	3215    
958  	577.9236      	17303.3239    	3377    
959  	578.4131      	17288.6822    	3367    
960  	578.9026      	17274.0634    	3287    
961  	579.3921      	17259.4693    	3316    
962  	579.8817      	17244.8981    	3361    
963  	580.3713      	17230.3496    	3447    
964  	580.8609      	17215.8257    	3366    
965  	581.3506      	17201.3226    	3244    
966  	581.8404      	17186.8439    	3294    
967  	582.3302      	17172.3878    	3372    
968  	582.8200      	17157.9559    	3374    
969  	583.3099      	17143.5448    	3321    
970  	583.7999      	17129.1578    	3288    
971  	584.2899      	17114.7931    	3332    
972  	584.7799      	17100.4507    	3340    
973  	585.2700      	17086.1324    	3292    
974  	585.7601      	17071.8345    	3303    
975  	586.2503      	17057.5604    	3327    
976  	586.7405      	17043.3102    	3332    
977  	587.2308      	17029.0803    	3270    
978  	587.7211      	17014.8723    	3333    
979  	588.2115      	17000.6881    	3314    
980  	588.7019      	16986.5257    	3277    
981  	589.1923      	16972.3868    	3378    
982  	589.6829      	16958.2680    	3401    
983  	590.1734      	16944.1727    	3328    
984  	590.6640      	16930.0990    	3330    
985  	591.1547      	16916.0469    	3344    
986  	591.6454      	16902.0164    	3357    
987  	592.1361      	16888.0091    	3231    
988  	592.6269      	16874.0233    	3279    
989  	593.1177      	16860.0589    	3310    
990  	593.6086      	16846.1159    	3268    
991  	594.0995      	16832.1959    	3322    
992  	594.5906      	16818.2955    	3399    
993  	595.0816      	16804.4180    	3297    
994  	595.5727      	16790.5616    	3372    
995  	596.0638      	16776.7281    	3371    
996  	596.5549      	16762.9157    	3366    
997  	597.0462      	16749.1225    	3375    
998  	597.5374      	16735.3537    	3374    
999  	598.0287      	16721.6042    	3390    
1000 	598.5201      	16707.8772    	3404    
1001 	599.0115      	16694.1693    	3336    
1002 	599.5030      	16680.4839    	3440    
1003 	599.9944      	16666.8210    	3395    
1004 	600.4860      	16653.1770    	3266    
1005 	600.9776      	16639.5553    	3320    
1006 	601.4692      	16625.9542    	3290    
1007 	601.9609      	16612.3736    	3359    
1008 	602.4527      	16598.8135    	3365    
1009 	602.9445      	16585.2756    	3365    
1010 	603.4363      	16571.7580    	3378    
1011 	603.9282      	16558.2608    	3398    
1012 	604.4201      	16544.7839    	3268    
1013 	604.9120      	16531.3289    	3358    
1014 	605.4041      	16517.8940    	3381    
1015 	605.8961      	16504.4794    	3344    
1016 	606.3882      	16491.0849    	3248    
1017 	606.8804      	16477.7120    	3367    
1018 	607.3726      	16464.3576    	3266    
1019 	607.8649      	16451.0248    	3324    
1020 	608.3572      	16437.7119    	3375    
1021 	608.8495      	16424.4205    	3364    
1022 	609.3419      	16411.1490    	3296    
1023 	609.8344      	16397.8956    	3346    
1024 	610.3268      	16384.6652    	3360    
1025 	610.8193      	16371.4529    	3352    
1026 	611.3120      	16358.2603    	3388    
1027 	611.8046      	16345.0889    	3317    
1028 	612.2972      	16331.9371    	3294    
1029 	612.7899      	16318.8064    	3352    
1030 	613.2827      	16305.6935    	3388    
1031 	613.7755      	16292.6018    	3294    
1032 	614.2684      	16279.5294    	3303    
1033 	614.7613      	16266.4763    	3287    
1034 	615.2542      	16253.4442    	3323    
1035 	615.7473      	16240.4297    	3275    
1036 	616.2403      	16227.4361    	3267    
1037 	616.7334      	16214.4616    	3344    
1038 	617.2265      	16201.5078    	3385    
1039 	617.7197      	16188.5716    	3384    
1040 	618.2130      	16175.6559    	3377    
1041 	618.7062      	16162.7593    	3294    
1042 	619.1995      	16149.8832    	3347    
1043 	619.6929      	16137.0245    	3320    
1044 	620.1863      	16124.1862    	3292    
1045 	620.6798      	16111.3667    	3236    
1046 	621.1733      	16098.5660    	3286    
1047 	621.6669      	16085.7856    	3269    
1048 	622.1605      	16073.0240    	3282    
1049 	622.6541      	16060.2809    	3419    
1050 	623.1478      	16047.5566    	3397    
1051 	623.6416      	16034.8507    	3320    
1052 	624.1354      	16022.1650    	3322    
1053 	624.6292      	16009.4978    	3293    
1054 	625.1231      	15996.8491    	3346    
1055 	625.6171      	15984.2187    	3368    
1056 	626.1110      	15971.6083    	3285    
1057 	626.6050      	15959.0162    	3304    
1058 	627.0991      	15946.4424    	3387    
1059 	627.5933      	15933.8868    	3272    
1060 	628.0874      	15921.3510    	3337    
1061 	628.5816      	15908.8334    	3319    
1062 	629.0759      	15896.3339    	3327    
1063 	629.5702      	15883.8524    	3323    
1064 	630.0645      	15871.3906    	3397    
1065 	630.5590      	15858.9452    	3314    
1066 	631.0534      	15846.5193    	3267    
1067 	631.5479      	15834.1129    	3384    
1068 	632.0424      	15821.7229    	3271    
1069 	632.5370      	15809.3522    	3298    
1070 	633.0316      	15796.9993    	3171    
1071 	633.5263      	15784.6642    	3355    
1072 	634.0210      	15772.3483    	3393    
1073 	634.5158      	15760.0486    	3356    
1074 	635.0106      	15747.7681    	3308    
1075 	635.5055      	15735.5052    	3380    
1076 	636.0004      	15723.2614    	3369    
1077 	636.4953      	15711.0351    	3392    
1078 	636.9904      	15698.8248    	3419    
1079 	637.4854      	15686.6350    	3386    
1080 	637.9805      	15674.4610    	3322    
1081 	638.4756      	15662.3060    	3336    
1082 	638.9708      	15650.1668    	3320    
1083 	639.4660      	15638.0479    	3356    
1084 	639.9613      	15625.9448    	3314    
1085 	640.4567      	15613.8589    	3258    
1086 	640.9520      	15601.7917    	3323    
1087 	641.4474      	15589.7416    	3329    
1088 	641.9429      	15577.7102    	3356    
1089 	642.4384      	15565.6943    	3490    
1090 	642.9340      	15553.6970    	3425    
1091 	643.4296      	15541.7167    	3344    
1092 	643.9252      	15529.7533    	3295    
1093 	644.4209      	15517.8084    	3416    
1094 	644.9166      	15505.8803    	3388    
1095 	645.4124      	15493.9691    	3266    
1096 	645.9083      	15482.0747    	3343    
1097 	646.4042      	15470.1971    	3343    
1098 	646.9001      	15458.3377    	3317    
1099 	647.3961      	15446.4951    	3359    
1100 	647.8921      	15434.6691    	3385    
1101 	648.3881      	15422.8612    	3404    
1102 	648.8842      	15411.0699    	3308    
1103 	649.3804      	15399.2952    	3360    
1104 	649.8766      	15387.5370    	3350    
1105 	650.3729      	15375.7953    	3309    
1106 	650.8691      	15364.0715    	3365    
1107 	651.3655      	15352.3641    	3345    
1108 	651.8619      	15340.6731    	3377    
1109 	652.3583      	15328.9985    	3329    
1110 	652.8548      	15317.3417    	3340    
1111 	653.3513      	15305.7011    	3369    
1112 	653.8479      	15294.0768    	3348    
1113 	654.3445      	15282.4701    	3345    
