Pixel	Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
1854 	1034.3707     	9667.7136     	3642    
1855 	1034.8990     	9662.7782     	3654    
1856 	1035.4272     	9657.8490     	3769    
1857 	1035.9557     	9652.9225     	3728    
1858 	1036.4840     	9648.0022     	3734    
1859 	1037.0125     	9643.0858     	3867    
1860 	1037.5409     	9638.1743     	3883    
1861 	1038.0693     	9633.2679     	3969    
1862 	1038.5979     	9628.3653     	4038    
1863 	1039.1265     	9623.4677     	3972    
1864 	1039.6550     	9618.5751     	4088    
1865 	1040.1837     	9613.6864     	4213    
1866 	1040.7124     	9608.8026     	4287    
1867 	1041.2411     	9603.9237     	4121    
1868 	1041.7699     	9599.0487     	4321    
1869 	1042.2987     	9594.1787     	4284    
1870 	1042.8275     	9589.3135     	4368    
1871 	1043.3564     	9584.4522     	4572    
1872 	1043.8854     	9579.5958     	4651    
1873 	1044.4143     	9574.7444     	4710    
1874 	1044.9432     	9569.8978     	4803    
1875 	1045.4723     	9565.0550     	4757    
1876 	1046.0015     	9560.2161     	4794    
1877 	1046.5305     	9555.3831     	5068    
1878 	1047.0597     	9550.5539     	5116    
1879 	1047.5889     	9545.7295     	5304    
1880 	1048.1182     	9540.9090     	5560    
1881 	1048.6473     	9536.0944     	5651    
1882 	1049.1766     	9531.2835     	5695    
1883 	1049.7061     	9526.4764     	5918    
1884 	1050.2355     	9521.6742     	6126    
1885 	1050.7649     	9516.8768     	6336    
1886 	1051.2943     	9512.0842     	6718    
1887 	1051.8239     	9507.2953     	6865    
1888 	1052.3534     	9502.5113     	7172    
1889 	1052.8829     	9497.7321     	7678    
1890 	1053.4126     	9492.9565     	7780    
1891 	1053.9423     	9488.1858     	8176    
1892 	1054.4719     	9483.4199     	8768    
1893 	1055.0017     	9478.6576     	9273    
1894 	1055.5315     	9473.9002     	10078   
1895 	1056.0613     	9469.1475     	10651   
1896 	1056.5912     	9464.3985     	11345   
1897 	1057.1211     	9459.6542     	12028   
1898 	1057.6510     	9454.9147     	12501   
1899 	1058.1809     	9450.1799     	13428   
1900 	1058.7109     	9445.4488     	14368   
1901 	1059.2410     	9440.7225     	14977   
1902 	1059.7711     	9435.9997     	15494   
1903 	1060.3013     	9431.2817     	16477   
1904 	1060.8314     	9426.5684     	17757   
1905 	1061.3616     	9421.8599     	19412   
1906 	1061.8918     	9417.1549     	20893   
1907 	1062.4221     	9412.4546     	22501   
1908 	1062.9525     	9407.7580     	24892   
1909 	1063.4828     	9403.0671     	29000   
1910 	1064.0132     	9398.3798     	36864   
1911 	1064.5437     	9393.6961     	65535   
1912 	1065.0741     	9389.0181     	65535   
1913 	1065.6046     	9384.3437     	65535   
1914 	1066.1353     	9379.6729     	65535   
1915 	1066.6658     	9375.0079     	65535   
1916 	1067.1964     	9370.3464     	65535   
1917 	1067.7271     	9365.6895     	65535   
1918 	1068.2578     	9361.0361     	65535   
1919 	1068.7886     	9356.3874     	65535   
1920 	1069.3193     	9351.7434     	65535   
1921 	1069.8502     	9347.1028     	43061   
1922 	1070.3810     	9342.4679     	30833   
1923 	1070.9120     	9337.8355     	25756   
1924 	1071.4429     	9333.2088     	23364   
1925 	1071.9739     	9328.5855     	21944   
1926 	1072.5049     	9323.9669     	20257   
1927 	1073.0359     	9319.3528     	19228   
1928 	1073.5670     	9314.7422     	19208   
1929 	1074.0981     	9310.1362     	17676   
1930 	1074.6294     	9305.5337     	16112   
1931 	1075.1605     	9300.9367     	15674   
1932 	1075.6918     	9296.3433     	14638   
1933 	1076.2231     	9291.7533     	13529   
1934 	1076.7544     	9287.1690     	12687   
1935 	1077.2858     	9282.5881     	11690   
1936 	1077.8171     	9278.0117     	10509   
1937 	1078.3486     	9273.4388     	10117   
1938 	1078.8801     	9268.8703     	9432    
1939 	1079.4116     	9264.3064     	8925    
1940 	1079.9432     	9259.7459     	8304    
1941 	1080.4749     	9255.1899     	7712    
1942 	1081.0065     	9250.6384     	7366    
1943 	1081.5381     	9246.0914     	7389    
1944 	1082.0698     	9241.5478     	6817    
1945 	1082.6016     	9237.0087     	6693    
1946 	1083.1333     	9232.4740     	6279    
1947 	1083.6652     	9227.9427     	5905    
1948 	1084.1970     	9223.4159     	5952    
1949 	1084.7290     	9218.8924     	5738    
1950 	1085.2609     	9214.3745     	5613    
1951 	1085.7928     	9209.8599     	5385    
1952 	1086.3250     	9205.3487     	5256    
1953 	1086.8569     	9200.8430     	5216    
1954 	1087.3890     	9196.3406     	5021    
1955 	1087.9211     	9191.8427     	4836    
1956 	1088.4534     	9187.3481     	4824    
1957 	1088.9856     	9182.8579     	4636    
1958 	1089.5178     	9178.3721     	4586    
1959 	1090.0500     	9173.8907     	4476    
1960 	1090.5824     	9169.4126     	4350    
1961 	1091.1147     	9164.9389     	4293    
1962 	1091.6472     	9160.4686     	4313    
1963 	1092.1797     	9156.0025     	4385    
1964 	1092.7122     	9151.5409     	4210    
1965 	1093.2446     	9147.0836     	4054    
1966 	1093.7772     	9142.6296     	4033    
1967 	1094.3098     	9138.1799     	4057    
1968 	1094.8424     	9133.7346     	3974    
1969 	1095.3751     	9129.2926     	3993    
1970 	1095.9078     	9124.8549     	4042    
1971 	1096.4406     	9120.4215     	3864    
1972 	1096.9734     	9115.9914     	3898    
1973 	1097.5061     	9111.5666     	3896    
1974 	1098.0391     	9107.1441     	3805    
1975 	1098.5719     	9102.7269     	3759    
1976 	1099.1049     	9098.3130     	3696    
1977 	1099.6378     	9093.9033     	3607    
1978 	1100.1709     	9089.4969     	3591    
1979 	1100.7039     	9085.0958     	3664    
1980 	1101.2369     	9080.6979     	3547    
1981 	1101.7701     	9076.3033     	3590    
1982 	1102.3032     	9071.9140     	3496    
1983 	1102.8364     	9067.5278     	3504    
1984 	1103.3698     	9063.1450     	3426    
1985 	1103.9030     	9058.7673     	3345    
1986 	1104.4363     	9054.3929     	3296    
1987 	1104.9697     	9050.0217     	3376    
1988 	1105.5031     	9045.6557     	3312    
1989 	1106.0365     	9041.2929     	3314    
1990 	1106.5699     	9036.9344     	3320    
1991 	1107.1035     	9032.5790     	3352    
1992 	1107.6371     	9028.2279     	3253    
1993 	1108.1707     	9023.8809     	3228    
1994 	1108.7042     	9019.5381     	3288    
1995 	1109.2379     	9015.1985     	3184    
1996 	1109.7716     	9010.8631     	3288    
1997 	1110.3053     	9006.5318     	3200    
1998 	1110.8391     	9002.2037     	3185    
