Pixel	Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
840  	520.5074      	19212.0210    	2855    
841  	520.9912      	19194.1818    	2827    
842  	521.4750      	19176.3734    	2815    
843  	521.9589      	19158.5980    	2809    
844  	522.4428      	19140.8510    	2808    
845  	522.9268      	19123.1369    	2762    
846  	523.4108      	19105.4534    	2759    
847  	523.8948      	19087.8003    	2839    
848  	524.3789      	19070.1798    	2835    
849  	524.8630      	19052.5895    	2854    
850  	525.3472      	19035.0295    	2855    
851  	525.8315      	19017.4996    	2791    
852  	526.3158      	18999.9998    	2813    
853  	526.8001      	18982.5321    	2775    
854  	527.2845      	18965.0921    	2915    
855  	527.7690      	18947.6842    	2819    
856  	528.2535      	18930.3060    	2818    
857  	528.7380      	18912.9596    	2891    
858  	529.2226      	18895.6407    	2943    
859  	529.7072      	18878.3534    	2999    
860  	530.1919      	18861.0956    	3091    
861  	530.6766      	18843.8671    	3262    
862  	531.1614      	18826.6701    	3491    
863  	531.6462      	18809.5001    	3950    
864  	532.1311      	18792.3614    	5681    
865  	532.6160      	18775.2517    	40919   
866  	533.1010      	18758.1711    	65535   
867  	533.5860      	18741.1214    	37373   
868  	534.0711      	18724.0985    	6585    
869  	534.5562      	18707.1065    	3489    
870  	535.0414      	18690.1431    	3045    
871  	535.5266      	18673.2105    	2963    
872  	536.0118      	18656.3043    	2990    
873  	536.4971      	18639.4286    	2909    
874  	536.9825      	18622.5814    	2881    
875  	537.4679      	18605.7625    	2891    
876  	537.9534      	18588.9718    	2869    
877  	538.4388      	18572.2114    	2813    
878  	538.9244      	18555.4770    	2847    
879  	539.4100      	18538.7727    	2887    
880  	539.8956      	18522.0984    	2873    
881  	540.3813      	18505.4500    	2933    
882  	540.8671      	18488.8314    	2831    
883  	541.3529      	18472.2385    	2786    
884  	541.8387      	18455.6754    	2775    
885  	542.3246      	18439.1419    	2759    
886  	542.8105      	18422.6339    	2846    
887  	543.2965      	18406.1555    	2862    
888  	543.7825      	18389.7044    	2787    
889  	544.2686      	18373.2806    	2850    
890  	544.7548      	18356.8841    	2799    
891  	545.2409      	18340.5168    	2831    
