Pixel	Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
1058 	627.0991      	15946.4424    	2762    
1059 	627.5933      	15933.8868    	2776    
1060 	628.0874      	15921.3510    	2821    
1061 	628.5816      	15908.8334    	2777    
1062 	629.0759      	15896.3339    	2704    
1063 	629.5702      	15883.8524    	2768    
1064 	630.0645      	15871.3906    	2774    
1065 	630.5590      	15858.9452    	2844    
1066 	631.0534      	15846.5193    	2772    
1067 	631.5479      	15834.1129    	2765    
1068 	632.0424      	15821.7229    	2740    
1069 	632.5370      	15809.3522    	2763    
1070 	633.0316      	15796.9993    	2790    
1071 	633.5263      	15784.6642    	2812    
1072 	634.0210      	15772.3483    	2808    
1073 	634.5158      	15760.0486    	2776    
1074 	635.0106      	15747.7681    	2667    
1075 	635.5055      	15735.5052    	2672    
1076 	636.0004      	15723.2614    	2765    
1077 	636.4953      	15711.0351    	2784    
1078 	636.9904      	15698.8248    	2773    
1079 	637.4854      	15686.6350    	2748    
1080 	637.9805      	15674.4610    	2755    
1081 	638.4756      	15662.3060    	2721    
1082 	638.9708      	15650.1668    	2764    
1083 	639.4660      	15638.0479    	2734    
